Parked_%,Total_cost,Avg_cost,EV_charged_%,Charger_waste_%,LargeBay_waste_%,Visitor_dist,Staff_dist,Floor_spread,Park,Method,Runtime_s
100.0,113774.0,113.77,36.9,38.2,22.1,76.4,73.1,0.0,1,Baseline,0.08
100.0,94024.0,94.02,56.1,31.7,14.5,70.0,226.4,0.0,1,ILP,7.59
100.0,94873.0,94.87,54.5,32.4,14.9,70.4,226.4,0.0,1,B&B,2.19
100.0,94761.0,94.76,54.5,32.5,14.4,70.4,226.4,0.0,1,SA,0.32
100.0,94565.0,94.56,55.6,32.4,14.5,70.4,226.4,0.0,1,GA,1.02
100.0,94271.0,94.27,56.1,28.9,12.0,71.4,226.4,0.0,1,Hungarian,0.19
100.0,114994.0,114.99,19.7,16.8,38.7,75.8,78.0,0.0,2,Baseline,0.06
100.0,98042.0,98.04,32.3,11.5,29.2,70.1,203.5,0.0,2,ILP,7.1
100.0,98767.0,98.77,31.3,11.6,29.5,70.5,203.1,0.0,2,B&B,2.18
100.0,99055.0,99.05,30.8,11.8,29.9,70.6,203.1,0.0,2,SA,0.33
100.0,98767.0,98.77,31.3,11.8,30.2,70.3,203.0,0.0,2,GA,1.02
100.0,98485.0,98.49,33.3,10.2,28.9,71.0,202.5,0.0,2,Hungarian,0.16
90.5,65442.0,72.31,13.6,10.3,26.5,21.3,18.8,2.4,3,Baseline,0.06
90.6,55122.0,60.84,35.4,2.6,17.7,21.1,37.8,8.4,3,ILP,6.55
90.7,56246.0,62.01,32.8,3.3,18.1,21.3,38.0,8.0,3,B&B,0.1
90.8,56364.0,62.07,32.8,3.2,18.7,21.4,38.0,8.1,3,SA,0.24
90.8,56805.0,62.56,33.3,3.1,19.1,21.3,37.5,7.8,3,GA,0.71
90.8,55350.0,60.96,35.4,2.3,17.8,21.3,38.1,7.8,3,Hungarian,0.12
100.0,72636.0,72.64,31.3,29.8,20.1,18.4,18.3,2.1,4,Baseline,0.11
