Instance,Method,Bays,Parked_%,EV_charged_%,Charger_waste_%,LargeBay_waste_%,Visitor_avg_dist,Staff_avg_dist,Time_s
1,Baseline,417,100.0,41.9,34.8,19.0,75.2,130.1,0.11
1,ILP,417,100.0,58.1,31.4,14.5,69.9,226.4,11.6
1,B&B,417,100.0,54.5,32.4,14.8,70.4,226.4,5.3
1,GA,417,100.0,55.1,32.3,14.4,70.4,226.4,2.53
1,SA,417,100.0,54.5,32.8,14.4,70.2,226.4,15.37
1,Hungarian,417,100.0,55.1,32.4,14.8,70.1,226.4,0.18
1,Hungarian+A,417,100.0,56.1,29.1,12.0,71.5,226.4,0.18
2,Baseline,377,100.0,21.2,13.7,34.8,75.3,124.0,0.1
2,ILP,377,100.0,31.3,11.5,28.8,70.4,203.5,9.98
2,B&B,377,100.0,30.8,11.7,29.8,70.5,203.1,5.33
2,GA,377,100.0,31.3,11.7,30.3,70.4,203.1,2.62
2,SA,377,100.0,31.3,11.8,29.9,70.3,203.1,13.62
2,Hungarian,377,100.0,31.8,11.7,29.9,70.4,203.1,0.16
2,Hungarian+A,377,100.0,33.8,10.3,29.0,70.8,202.5,0.15
3,Baseline,271,90.5,22.7,7.1,23.5,21.9,26.7,0.06
3,ILP,271,90.7,34.8,2.7,19.1,21.5,37.4,6.32
3,B&B,271,90.8,34.3,3.0,18.3,21.7,37.0,0.22
3,GA,271,90.7,33.8,3.1,18.7,21.7,36.9,2.11
3,SA,271,90.6,34.3,3.0,18.3,21.7,37.0,9.31
3,Hungarian,271,90.7,33.8,3.0,18.4,21.8,36.6,0.09
3,Hungarian+A,271,90.8,35.4,2.3,18.5,21.6,36.8,0.09
4,Baseline,485,100.0,38.4,20.9,15.3,20.0,27.3,0.13
4,ILP,485,100.0,79.3,5.1,6.3,23.1,43.9,14.24
4,B&B,485,100.0,79.8,5.6,6.0,22.8,44.3,4.77
4,GA,485,100.0,79.8,5.6,6.5,22.8,44.1,2.75
4,SA,485,100.0,80.3,5.4,5.9,22.8,44.0,18.07
4,Hungarian,485,100.0,78.3,6.0,6.0,22.8,43.6,0.22
4,Hungarian+A,485,100.0,85.4,2.4,5.1,23.0,44.6,0.22
5,Baseline,428,100.0,35.9,17.3,14.5,20.2,24.8,0.11
5,ILP,428,100.0,76.3,4.5,8.5,21.2,42.4,11.58
5,B&B,428,100.0,73.2,4.4,8.4,21.4,41.2,4.08
5,GA,428,100.0,73.2,4.4,8.7,21.5,40.9,2.58
5,SA,428,100.0,73.2,4.4,8.4,21.4,41.2,15.81
5,Hungarian,428,100.0,73.2,4.4,8.5,21.4,41.2,0.18
5,Hungarian+A,428,100.0,77.8,1.9,5.8,21.5,41.9,0.18
6,Baseline,444,100.0,38.4,19.1,17.6,20.7,26.9,0.11
6,ILP,444,100.0,79.3,4.9,8.3,22.8,44.4,12.24
6,B&B,444,100.0,77.8,5.4,8.3,22.7,44.2,6.18
6,GA,444,100.0,78.3,5.2,8.6,22.8,44.3,2.62
6,SA,444,100.0,77.8,5.4,8.3,22.7,44.2,16.3
6,Hungarian,444,100.0,78.3,5.2,8.4,22.7,44.1,0.19
6,Hungarian+A,444,100.0,83.3,3.0,7.0,22.9,44.0,0.19
7,Baseline,432,100.0,34.8,17.0,19.4,30.5,59.1,0.11
7,ILP,432,100.0,69.7,5.0,8.9,30.0,116.3,11.87
7,B&B,432,100.0,70.2,4.5,9.2,30.1,116.3,3.32
7,GA,432,100.0,70.2,4.5,9.2,30.1,116.3,2.64
7,SA,432,100.0,70.2,4.5,9.2,30.1,116.3,15.74
7,Hungarian,432,100.0,69.7,4.9,9.4,30.0,116.3,0.19
7,Hungarian+A,432,100.0,74.2,2.5,7.9,30.6,116.3,0.19
8,Baseline,98,45.5,16.2,11.9,15.9,22.2,24.4,0.03
8,ILP,98,45.6,17.7,9.7,13.7,22.0,26.5,4.1
8,B&B,98,45.2,17.7,10.1,14.9,21.9,26.6,0.05
8,GA,98,45.4,15.2,11.4,15.5,22.0,26.1,1.83
8,SA,98,45.1,17.2,10.3,13.9,21.8,26.4,5.85
8,Hungarian,98,45.2,17.7,10.1,14.8,21.9,26.6,0.03
8,Hungarian+A,98,45.1,18.7,9.6,14.9,21.9,25.4,0.03
9,Baseline,486,100.0,37.9,21.3,15.1,23.6,42.9,0.13
9,ILP,486,100.0,81.3,6.5,4.6,25.4,83.9,13.77
9,B&B,486,100.0,80.3,6.9,4.4,25.2,83.8,3.85
9,GA,486,100.0,80.3,6.7,4.6,25.2,83.8,2.76
9,SA,486,100.0,80.3,6.9,4.4,25.2,83.8,18.66
9,Hungarian,486,100.0,79.8,6.9,4.4,25.2,85.4,0.22
9,Hungarian+A,486,100.0,85.4,3.6,3.3,25.8,84.4,0.23
10,Baseline,100,46.9,21.2,14.8,29.8,14.3,17.2,0.03
10,ILP,100,46.1,24.7,12.2,27.1,14.4,17.8,3.99
10,B&B,100,46.3,23.7,12.8,28.3,14.2,17.8,0.03
10,GA,100,46.4,21.2,14.4,29.7,14.2,18.4,1.87
10,SA,100,46.4,24.7,12.5,28.2,14.2,18.5,5.58
10,Hungarian,100,46.1,23.7,13.1,27.8,14.2,17.5,0.03
10,Hungarian+A,100,46.4,24.2,12.5,27.5,14.4,17.2,0.03
